,values,category
17332,give me the least expensive first class round trip ticket on us airways from cleveland to miami,travel
17333,give me the least expensive first class round trip ticket on us air from cleveland to.,travel
17334,show passenger and fare information from pittsburgh connecting through denver to oakland,travel
17335,show flights and fare information from pittsburgh connecting through pittsburgh to oakland,travel
17336,show flights and fare information from airlines connecting through denver to oakland,travel
17337,Show tickets from pittsburgh into oakland from denver to denver.,travel
17338,show flights and other information from pittsburgh connecting through denver to oakland,travel
17339,show flights and fare increases from pittsburgh connecting through denver to oakland,travel
17340,You will find information on air travel from pittsburgh to oakland via denver.,travel
17341,show flights and fare information from pittsburgh connecting through denver to oakland,travel
17342,Read the full name of all flights departing the city of New York on Wednesday morning.,travel
17343,list all flights leaving on thursdays from new york city to montreal,travel
17344,list all trains leaving on thursday morning from new york city to montreal,travel
17345,list all flights leaving on thursday morning from new york city to montreal,travel
17346,list all flights leaving on monday morning from new york city to montreal,travel
17347,List all flights scheduled from new york to montreal on Monday morning.,travel
17348,I need to get some flight from boston to pittsburgh from here.,travel
17349,i need a flight from boston to.,travel
17350,i need a flight from boston to pittsburgh,travel
17351,i need a flight from chicago to pittsburgh,travel
17352,i need a flight from boston to pittsburgh.,travel
17353,List all flights on sunday from San Francisco to pittsburgh nonstop.,travel
17354,list all flights on sunday from san francisco to chicago nonstop,travel
17355,list all flights on sunday from san francisco to pittsburgh nonstop,travel
17356,list all trains on sunday from san francisco to pittsburgh nonstop,travel
17357,(San francisco) to pittsburgh for sale on sunday.,travel
17358,list all flights on schedule from san francisco to pittsburgh nonstop,travel
17359,show me all flights from boston to philadelphia on saturday after sunday which leave after noon,travel
17360,"show me all flights by denver to philadelphia on Saturday after sunday, going out by noon on Saturday, Leaving on the following afternoon.",travel
17361,show me all flights from denver to philadelphia on saturday after sunday which leave after.,travel
17362,show me all flights from denver to philadelphia on sunday after sunday which leave after noon,travel
17363,show me all flights from denver to philadelphia on saturday after noon which leave after noon,travel
17364,"Show me on Saturday, after sunday everything goes to philadelphia from denver on saturday. It leaves after noon on sunday at home if I leave from denver to denver.",travel
17365,show me all trains from denver to philadelphia on saturday after sunday which leave after noon,travel
17366,show me all flights from denver to philadelphia on saturday after sunday which leave after noon,travel
17367,please list the american airlines flights from philadelphia to dallas on 1 october first,travel
17368,please list the american airlines flights from philadelphia to boston on tuesday october first,travel
17369,Please list the american airlines flights from philadelphia to dallas on tuesday october first.,travel
17370,please list the american airlines flights from philadelphia to dallas on tuesday. first,travel
17371,please list the united airlines flights from philadelphia to dallas on tuesday october first,travel
17372,Please list the American Airlines flights to dallas on tuesday october before departing from philadelphia.,travel
17373,please list the american airlines flights from chicago to dallas on tuesday october first,travel
17374,please list the american airlines flights from philadelphia to dallas on tuesday october first,travel
17375,please list the american eagle flights from philadelphia to dallas on tuesday october first,travel
17376,please list the american airlines flight from philadelphia to dallas on tuesday october first,travel
17377,give me the flights from indianapolis to orlando on december twenty seventh and twenty eighth,travel
17378,give me the flights from indianapolis to orlando on the twenty seventh and twenty eighth,travel
17379,Give me a flight of indianapolis to orlando on december 27th and 28th of May 31st.,travel
17380,give me the flights from atlanta to orlando on december twenty seventh and twenty eighth,travel
17381,give me the ride from indianapolis to orlando on december twenty seventh and twenty eighth,travel
17382,give me the flights from indianapolis to orlando on december twenty seventh and twenty.,travel
17383,give me the flights from indianapolis to chicago on december twenty seventh and twenty eighth,travel
17384,Give me the flights from indianapolis to orlando on december 27th and 27th.,travel
17385,show me the flights from oakland to denver,travel
17386,Show me the flights from oakland to denver.,travel
17387,show me the way from oakland to denver,travel
17388,show me the flights from oakland to.,travel
17389,show me the flights from chicago to denver,travel
17390,tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm,travel
17391,tell me about flights from toronto to salt lake city leaving toronto between 530 and 6 pm,travel
17392,Tell me if you're going from toronto to salt lake city between 530 and 7pm to leave toronto between 530 and 7pm.,travel
17393,tell me about flights from vancouver to salt lake city leaving toronto between 530 and 7 pm,travel
17394,Please tell me about flights from toronto to salt lake city on the way south of toronto between 530 and 7 p.m.,travel
17395,tell me about flights from toronto to salt lake city leaving toronto between 6 and 7 pm,travel
17396,tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 ;,travel
17397,show me all flights from minneapolis to san diego that arrive before 7 ;,travel
17398,show me all flights from minneapolis to san francisco that arrive before 7 pm,travel
17399,Show me any flight between minneapolis and San diego arriving after 7am.,travel
17400,Look after me all the flights from minneapolis to san diego which arrive before seven o'clock.,travel
17401,show me all flights from seattle to san diego that arrive before 7 pm,travel
17402,show me all flights from minneapolis to san diego that arrive before 7 pm,travel
17403,i need a flight from here to dallas,travel
17404,I need an international flight from philadelphia to dallas.,travel
17405,I need to make a flight to the dallas flight from philadelphia to dallas.,travel
17406,i need a flight from philadelphia to.,travel
17407,i need a flight from philadelphia to dallas,travel
17408,philadelphia to boston.,travel
17409,philadelphia to boston saturday,travel
17410,"Saturday, Philadelphia departed for boston on saturday.",travel
17411,philadelphia to boston on saturday departed.,travel
17412,philadelphia to pittsburgh saturday,travel
17413,which will fly from toronto to san diego and have a stopover in denver,travel
17414,which airlines fly from toronto to san diego and have a stopover in denver,travel
17415,which airlines fly from toronto to san diego and have a hub in denver,travel
17416,Which airlines fly to the end of the island and a stopover in denver if you leave toronto or denver?,travel
17417,which airlines fly from denver to san diego and have a stopover in denver,travel
17418,which airlines fly from toronto to san diego and have a stopover in ;,travel
17419,Which airlines fly from toronto to san diego and have a departure in denver?,travel
17420,which airlines fly from toronto to san francisco and have a stopover in denver,travel
17421,Which flights go from charlotte to baltimore to the morning?,travel
17422,what flights go from charlotte to baltimore in the morning,travel
17423,what would go from charlotte to baltimore in the morning,travel
17424,"From charlotte to baltimore for a trip, on the morning, the flights go from charlotte in the morning to baltimore at the beach.",travel
17425,what flights go from boston to baltimore in the morning,travel
17426,what flights go from charlotte to baltimore in the?,travel
17427,what flights leave washington dc and arrive in san francisco on?,travel
17428,what flights leave washington dc and arrive in san francisco on wednesday,travel
17429,Can we get to san francisco when flights leave washington dc and arrive wednesday?,travel
17430,what? leave washington dc and arrive in san francisco on wednesday,travel
17431,Which flights leave washington dc from and arrive in san francisco on wednesday?,travel
17432,i d like a flight from indianapolis to toronto leaving thursday morning nonstop,travel
17433,i d like a flight from indianapolis to chicago leaving thursday morning nonstop,travel
17434,i d like a flight from indianapolis to toronto leaving tomorrow morning nonstop,travel
17435,"I want to fly from indianapolis to toronto, leaving thursday morning, nonstop, for about six days before departure.",travel
17436,i d like a flight from indianapolis to toronto leaving thursday night nonstop,travel
17437,I want to fly back of indianapolis to toronto on departure of thursday morning nonstop.,travel
17438,i d like a flight from vancouver to toronto leaving thursday morning nonstop,travel
17439,what is your least expensive fare between boston and boston,travel
17440,what is your least expensive fare between atlanta and boston,travel
17441,what is your least expensive hotel atlanta and boston fares?,travel
17442,what is your least favorite fare between atlanta and boston,travel
17443,what is your least expensive route between atlanta and boston,travel
17444,what's the lowest price in the park between atlanta and boston.,travel
17445,what is your least expensive fare between atlanta and?,travel
17446,i need information for ground transportation denver colorado,travel
17447,Do you have any information about ground transportation denver colorado?,travel
17448,i need information for ground transportation in colorado,travel
17449,i need information for : transportation denver colorado,travel
17450,i need information for ground zero denver colorado,travel
17451,I need information for ground transportation denver colorado.,travel
17452,i need information for ground transportation denver.,travel
17453,i need you for ground transportation denver colorado,travel
17454,are there any trains from denver to pittsburgh with a stopover in atlanta,travel
17455,are there any flights from denver to atlanta with a stopover in atlanta,travel
17456,are there any flights from denver to pittsburgh with a stopover in atlanta,travel
17457,"Do you have a flight from denver to pittsburgh, with a stopover in atlanta?",travel
17458,"Is there any shuttle from denver to pittsburgh, atlanta or you have to get to the west by the ferry station?",travel
17459,are there any flights from denver to pittsburgh with a stop in atlanta,travel
17460,are there any flights from philadelphia to pittsburgh with a stopover in atlanta,travel
17461,are there any flights from denver to pittsburgh with a stopover in?,travel
17462,Listen to all the flights taking place from general mitchell international.,travel
17463,List all the flights that depart from general mitchell international.,travel
17464,list all the aircraft that takeoff from general mitchell international,travel
17465,list all the flights that takeoff from the mitchell international,travel
17466,list all the flights that takeoff from general aviation international,travel
17467,list all the flights that takeoff from general mitchell international,travel
17468,list all the flights that takeoff from general mitchell.,travel
17469,list all the flights that depart from general mitchell international,travel
17470,i m going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying,travel
17471,i m going to leave philadelphia and i want to go to san francisco and i want to fly first class aircraft and i want a stop in dallas can you please tell me what type of aircraft you will be flying,travel
17472,i m going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in california can you please tell me what type of aircraft you will be flying,travel
17473,i m going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a job in dallas can you please tell me what type of aircraft you will be flying,travel
17474,i m going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of pilot you will be flying,travel
17475,"If you want to come to San Francisco to fly first class american, please give me a call from us.",travel
17476,i m going to leave philadelphia and i want to go to san francisco and i want to fly first north american and i want a stop in dallas can you please tell me what type of aircraft you will be flying,travel
17477,I'll leave the Philippines as a pilot. I want to fly first class american and meet people on the outskirts of dallas so that you can tell me which plane you'll fly.,travel
17478,i m going to leave boston and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying,travel
17479,what is the latest? leaving newark for los angeles wednesday,travel
17480,what is the latest flight leaving london for los angeles wednesday,travel
17481,the last flight leaving newark goes to los angeles wednesday.,travel
17482,what's the latest flight leaving newark for los angeles is wednesday?,travel
17483,what is the latest flight leaving newark for los angeles wednesday,travel
17484,what is the next flight leaving newark for los angeles wednesday,travel
17485,what is the latest flight leaving newark for los angeles?,travel
17486,find the cheapest one way fare from pittsburgh to san francisco,travel
17487,find the cheapest one way ticket from pittsburgh to san francisco,travel
17488,find the cheapest one. fare from pittsburgh to san francisco,travel
17489,find the best one way fare from pittsburgh to san francisco,travel
17490,find the cheapest one way fare from chicago to san francisco,travel
17491,"Find the cheapest way to san francisco from pittsburgh, cheapest fare from pittsburgh.",travel
17492,Find the cheaper way fare from pittsburgh to san francisco.,travel
17493,show me the flights from atlanta to washington dc on friday evening,travel
17494,show me the flights from london to washington dc on thursday evening,travel
17495,show me the flights from atlanta to washington dc on thursday evening,travel
17496,show me the flights from atlanta to washington dc on thursday.,travel
17497,Show me the flight from atlanta to washington dc on thursday afternoon.,travel
17498,show me the flight from atlanta to washington dc on thursday evening,travel
17499,Show me the flights from atlanta to washington at dc on the weekend.,travel
17500,show me the flights from salt lake city to st. petersburg tomorrow night on tuesday,travel
17501,show me the flights from salt lake city to st. petersburg late night on tuesday,travel
17502,Show me the flight from Salt Lake city to st. petersburg on tuesday night.,travel
17503,show me the flights from salt lake city to st. louis late night on tuesday,travel
17504,show me the flights from salt lake city to st. petersburg late night on.,travel
17505,Come to st. petersburg later tomorrow evening.,travel
17506,show me the route from salt lake city to st. petersburg late night on tuesday,travel
17507,what is the latest international flight departing san francisco and arriving in boston on november ninth,travel
17508,what seems to be the last plane to leave san francisco and arriving in boston on December ninth.,travel
17509,what is the latest afternoon flight departing san francisco and arriving in seattle on november ninth,travel
17510,what is the latest afternoon flight departing san francisco and arriving in boston on november ninth,travel
17511,what is the first afternoon flight departing san francisco and arriving in boston on november ninth,travel
17512,"what comes at the second assay and departing from San Francisco, beginning on november 9 and arriving in boston.",travel
17513,what is the latest afternoon flight departing san francisco and arriving in boston on the ninth,travel
17514,what is the latest afternoon flight departing san francisco and arriving in boston on november?,travel
17515,what is the latest afternoon? departing san francisco and arriving in boston on november ninth,travel
17516,i would like a coach - seat on a flight leaving denver arriving atlanta,travel
17517,"On board, i will be leaving denver and arriving atlanta and can go to a coach class.",travel
17518,i would like a coach class seat on a flight leaving denver arriving atlanta,travel
17519,i would like a first class seat on a flight leaving denver arriving atlanta,travel
17520,i would like a coach class ticket on a flight leaving denver arriving atlanta,travel
17521,i would like a coach class seat on a train leaving denver arriving atlanta,travel
17522,i would like a coach class seat on a flight leaving and arriving atlanta,travel
17523,I would like to have a coach class seat on a flight leaving denver and arriving atlanta airport.,travel
17524,i would like a coach class seat on a flight leaving denver arriving.,travel
17525,tell me about flights from chicago to atlanta next tuesday,travel
17526,tell me about flights from charlotte to atlanta next tuesday,travel
17527,"Next tuesday, tell me if you can fly from atlanta to charlotte.",travel
17528,tell me about flights from charlotte to boston next tuesday,travel
17529,Next weekend be on my flight from charlotte to atlanta.,travel
17530,tell me about flights from charlotte to atlanta next.,travel
17531,tell me about you from charlotte to atlanta next tuesday,travel
17532,show me flights from atlanta to washington,travel
17533,Don't forget to get up from atlanta to washington of Washington.,travel
17534,show me flights from london to washington,travel
17535,show me everything from atlanta to washington,travel
17536,show me flights from atlanta to.,travel
17537,Come by of atlanta and washington from here.,travel
17538,i d like to take a flight from washington dc stop in california and with my final destination as san francisco,travel
17539,i d like to take a flight from the dc stop in denver and with my final destination as san francisco,travel
17540,i d like to take a flight from washington dc stop in denver and with my next destination as san francisco,travel
17541,i d like to take a flight from washington dc stop in denver and with my final destination as san francisco,travel
17542,I am going to depart from washington dc station and leave for san francisco.,travel
17543,i d like to take a flight from washington dc stop in denver and with my final destination as san.,travel
17544,i would like to go to washington dc today and get to the final destination of san francisco in a flight.,travel
17545,i d like to take a flight from washington to stop in denver and with my final destination as san francisco,travel
17546,what are the flights on january first 1992 from boston to san francisco,travel
17547,what are the flights on january first 1992 from seattle to san francisco,travel
17548,what are the flights on january first? from boston to san francisco,travel
17549,What are the flights from boston to san francisco from january first 1992 to january first in 1992?,travel
17550,What are the flights from boston to san francisco to january 2nd 1992 in the first seven years?,travel
17551,what are the flights on the first 1992 from boston to san francisco,travel
17552,what are the flights on january first 1992 from boston to san?,travel
17553,please give me evening before leaving philadelphia to san francisco friday,travel
17554,I invite you to make a day flight from philadelphia to san francisco friday on the way to home.,travel
17555,please give me the flights leaving philadelphia to san francisco friday,travel
17556,please give me evening flights leaving philadelphia to san francisco friday,travel
17557,please give me evening flights leaving philadelphia to san francisco.,travel
17558,Please give me evening flights from philadelphia to san francisco friday.,travel
17559,please give me evening flights leaving seattle to san francisco friday,travel
17560,what s the lowest round trip fare from atlanta to pittsburgh,travel
17561,What is the lowest excursion fare from atlanta to pittsburgh from pittsburgh to pittsburgh is to.,travel
17562,what s the lowest round of fare from atlanta to pittsburgh,travel
17563,What does shortest trip from atlanta to pittsburgh cost?,travel
17564,what s the lowest round trip fare from atlanta to?,travel
17565,what s the lowest daily trip fare from atlanta to pittsburgh,travel
17566,what s the lowest round trip fare from chicago to pittsburgh,travel
17567,what s the average round trip fare from atlanta to pittsburgh,travel
17568,How many different flight classes are there?,travel
17569,how many different social classes are there,travel
17570,how many different flight paths are there,travel
17571,how many different flight classes are there,travel
17572,how many plane classes are there in class?,travel
17573,show me a list of flights from chicago to atlanta leaving after noon and arriving before 7 pm,travel
17574,show me a list of flights from boston to atlanta leaving after noon and arriving before 2 pm,travel
17575,show me a list of flights from boston to atlanta leaving after noon and arriving before 7 pm,travel
17576,show me a list of flights from boston to atlanta leaving after midnight and arriving before 7 pm,travel
17577,Show me an itinerary of flights from boston to atlanta that come after noon and arrive before 7am.,travel
17578,"Show me the list of flights from boston to atlanta, leaving after noon and arriving before 7 am.",travel
17579,show me a list of trains from boston to atlanta leaving after noon and arriving before 7 pm,travel
17580,show me a list of flights from boston to atlanta leaving after noon and arriving before 7 ;,travel
17581,show me a list of flights from boston to chicago leaving after noon and arriving before 7 pm,travel
17582,what flights are there from denver to atlanta,travel
17583,"When you go from denver to atlanta, which plane is there from denver.",travel
17584,what flights are there from chicago to atlanta,travel
17585,What airlines are between denver and atlanta if you are on the way from denver to atlanta?,travel
17586,what roads are there from denver to atlanta,travel
17587,what flights are there from denver to?,travel
17588,"I want an aircraft that leaves from charlotte to newark, departing in the afternoon or night, the plane leaves.",travel
17589,i want a flight that leaves from charlotte to newark that leaves in the morning or evening,travel
17590,i want a flight that leaves from charlotte to newark that leaves in the afternoon or.,travel
17591,i want a flight that leaves from charlotte to charlotte that leaves in the afternoon or evening,travel
17592,i want a flight without leaving from charlotte to newark and without leaving at afternoon or at night.,travel
17593,i want a flight that leaves from washington to newark that leaves in the afternoon or evening,travel
17594,i want a flight that leaves from charlotte to newark that leaves in the afternoon or evening,travel
17595,The united airlines have any dallas to san francisco flights.,travel
17596,Does united airlines have any flights from dallas to san francisco?,travel
17597,does united airline have any flights from dallas to san francisco,travel
17598,does united airline have any flights from dallas to san?,travel
17599,does the airline have any flights from dallas to san francisco,travel
17600,does united airline have any flights from seattle to san francisco,travel
17601,does united airlines have any flights from dallas to san francisco,travel
17602,does united airline have any service from dallas to san francisco,travel
17603,show me flights on wednesday morning boston to denver for united airlines first class,travel
17604,show me flights on sunday morning boston to denver for united airlines first class,travel
17605,show me out on wednesday morning boston to denver for united airlines first class,travel
17606,show me flights on wednesday morning back to denver for united airlines first class,travel
17607,show me flights on wednesday from boston to denver for united airlines first class,travel
17608,"I'll fly with the boston to denver on wednesday, but first class is united airlines!",travel
17609,Show me planes december 21 with boston to denver in the first class. United airlines will be utmost use of first class flights on wednesday morning.,travel
17610,show me flights on wednesday morning boston to chicago for united airlines first class,travel
17611,show me flights on wednesday morning boston to denver for united airlines first.,travel
17612,which airline offers the same rate going from dallas to baltimore on july fourth,travel
17613,which airline offers the lowest rate going from dallas to baltimore on july 4th.,travel
17614,which also offers the cheapest rate going from dallas to baltimore on july fourth,travel
17615,which airline offers the cheapest rate going from dallas to baltimore on the fourth,travel
17616,which airline offers the cheapest rate going from dallas to baltimore on july?,travel
17617,which airline offers the cheapest service going from dallas to baltimore on july fourth,travel
17618,which airline offers the cheapest rate going from dallas to baltimore on july fourth,travel
17619,What airline does the best rate in the world going from dallas to baltimore on july fourth?,travel
17620,which airline offers the cheapest rate going from boston to baltimore on july fourth,travel
17621,I would like to plan flights from boston to denver by American Airlines.,travel
17622,i would like to plan a flight on american airlines from chicago to denver,travel
17623,i would like to plan a flight on american airlines from boston to denver,travel
17624,i would like to plan a flight on united airlines from boston to denver,travel
17625,i'd like to plan a flight aboard US airlines from boston to denver from boston to denver.,travel
17626,i would like to plan a flight on american airlines from boston to.,travel
17627,list evening flights daily from phoenix to detroit,travel
17628,list evening flights tomorrow from phoenix to.,travel
17629,list evening flight tomorrow from phoenix to detroit,travel
17630,list of flights tomorrow from phoenix to detroit,travel
17631,list evening flights tomorrow from phoenix to detroit,travel
17632,Do you have a dinner flight for tomorrow for phoenix from detroit to detroit?,travel
17633,two evening flights tomorrow from phoenix to detroit,travel
17634,During the evening this morning we want to plan flights from phoenix to detroit.,travel
17635,list evening flights tomorrow from chicago to detroit,travel
17636,Tell me about toronto airport journeys.,travel
17637,tell me about the transportation at toronto,travel
17638,tell me about ground zero at toronto,travel
17639,tell me about ground transportation at toronto,travel
17640,tell me about ground transportation at.,travel
17641,Talk to me about foreign transportation from toronto.,travel
17642,what are the seating capacities of planes between pittsburgh and baltimore,travel
17643,what are the seating capacities of planes between philadelphia and baltimore,travel
17644,what are the seating arrangements of planes between pittsburgh and baltimore,travel
17645,what are the seating capacities of games between pittsburgh and baltimore,travel
17646,What are the heights of the planes between pittsburg and baltimore in seats?,travel
17647,what are the seating capacities of planes between pittsburgh and?,travel
17648,What are the planes connecting pittsburgh and baltimore's seats?,travel
17649,Show me the flights from boston to pittsburgh on wednesday after six o'clock,travel
17650,Show me all flights from boston to pittsburgh on wednesday after 6 p.m.,travel
17651,show me all flights from boston to pittsburgh on wednesday after 6 o clock.,travel
17652,show me all flights from seattle to pittsburgh on wednesday after 6 o clock pm,travel
17653,show me all flights from boston to pittsburgh on friday after 6 o clock pm,travel
17654,show me all flights from boston to pittsburgh on wednesday after eight o clock pm,travel
17655,show me all trains from boston to pittsburgh on wednesday after 6 o clock pm,travel
17656,show me all flights from boston to pittsburgh on wednesday after 6 o clock pm,travel
17657,show me all flights from boston to pittsburgh on wednesday after 6 o'pm,travel
17658,shh w me all flights from boston to pittsburgh on wednesday after 6 o clock pm,travel
17659,show me all flights from boston to chicago on wednesday after 6 o clock pm,travel
17660,What are ground transport in denver?,travel
17661,What's ground transportation available in denver?,travel
17662,what is the ground floor available in denver,travel
17663,what is the ground transportation available in denver,travel
17664,what is the ground transportation available in?,travel
17665,what is the ground transportation system in denver,travel
17666,what is the public transportation available in denver,travel
17667,i d like to see all this from denver to philadelphia,travel
17668,i d like to see all flights from denver to philadelphia,travel
17669,Would you like to see all flights from denver to philadelphia from denver to philadelphia?,travel
17670,i d like to see all flights from boston to philadelphia,travel
17671,My aim is to see all the flight of denver to philadelphia from denver to philadelphia.,travel
17672,Show me the flights from baltimore to philadelphia.,travel
17673,show me the flights from boston to philadelphia,travel
17674,show me the route from baltimore to philadelphia,travel
17675,Please show me the flight from baltimore to philadelphia.,travel
17676,show me the flights from baltimore to philadelphia,travel
17677,please give me a flight from boston to atlanta before i am in the morning,travel
17678,Please take a flight from boston to atlanta at 10 o'clock.,travel
17679,please give me a flight from boston to washington before 10 am in the morning,travel
17680,please give me a flight from chicago to atlanta before 10 am in the morning,travel
17681,please give me a flight from boston to atlanta before 10 am in the morning,travel
17682,Please have a flight from boston to atlanta before 10 am.,travel
17683,Show me travels from new york to miami.,travel
17684,Show me flights from new york to miami from new year's.,travel
17685,show me flights from new york to miami,travel
17686,show me everything from new york to miami,travel
17687,show me flights from new york to.,travel
17688,flights from los angeles to pittsburgh,travel
17689,trains from los angeles to pittsburgh,travel
17690,flights from los angeles to ;,travel
17691,From los angeles to pittsburgh the shuttle takes all the way to pittsburgh.,travel
17692,"From los angeles to pittsburgh, the irrations from pittsburgh are the engines of missions.",travel
17693,list all round trip flights from indianapolis to orlando departing either on december twenty fourth or on december twenty eighth,travel
17694,list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty.,travel
17695,List all round of flights from indiana to orlando and departing both from the second and final two years on december twenty seven or six months earlier in a year.,travel
17696,"Travel from indianapolis to orlando from til November 22, til November, or at til December 10, 10 o'clock to go from a december 27, 5 o'clock to o'clock at 1 o'clock, by december 20, 9 o'clock.",travel
17697,list all round trip flights from indianapolis to chicago departing either on december twenty seventh or on december twenty eighth,travel
17698,list all round trip flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth,travel
17699,list all round of flights from indianapolis to orlando departing either on december twenty seventh or on december twenty eighth,travel
17700,list all round trip flights from chicago to orlando departing either on december twenty seventh or on december twenty eighth,travel
17701,What is a flight of boston to washington from noon. a flight from boston to washington from noon.,travel
17702,"what flight is available at noon from boston to washington what flight is available at noon from boston to washington, and at noon from boston to washington what do you have available at noon from noon from noon until noon.",travel
17703,what flight is available at noon from boston to washington what flight is available around noontime from boston to washington,travel
17704,what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington,travel
17705,"Hi, can you get the two-way ticket from milwaukee to orlando?",travel
17706,Hi can you get a single ticket from milwaukee to orlando.,travel
17707,hi could i get a one way ticket from miami to orlando,travel
17708,hi could i get a one way ticket from milwaukee to orlando,travel
17709,hi could i get a one way ticket from milwaukee to?,travel
17710,i want to see the next flight from denver to pittsburgh,travel
17711,I want to get the best boarding flight from denver to pittsburgh.,travel
17712,i want to see the cheapest place from denver to pittsburgh,travel
17713,i want the lowest train tickets from denver to pittsburgh.,travel
17714,i want to see the cheapest flight from denver to.,travel
17715,i want to see the cheapest flight from denver to pittsburgh,travel
17716,i want to see the cheapest flight from chicago to pittsburgh,travel
17717,Please take your directions from San Francisco to las vegas.,travel
17718,Show me the flights from San Francisco to Las Vegas.,travel
17719,show me the way from san francisco to las vegas,travel
17720,show me the flights from san francisco to las.,travel
17721,show me the flights from san francisco to las vegas,travel
17722,Show afternoon flights to san francisco from dallas to dallas to flanders.,travel
17723,showroom flights from dallas to san francisco,travel
17724,show afternoon flights from seattle to san francisco,travel
17725,show afternoon flights from dallas to san.,travel
17726,show afternoon flights from dallas to san francisco,travel
17727,show afternoon drive from dallas to san francisco,travel
17728,Spectacular flight from dallas to san francisco in the afternoon.,travel
17729,"i would like the cheapest flight from pittsburgh to atlanta leaving april twenty, and returning may sixth",travel
17730,i would like the cheapest flight from pittsburgh to atlanta leaving april twenty fifth and returning may sixth,travel
17731,I want the cheapest flight from pittsburgh to atlanta leaving april twenty five and returning may sixth.,travel
17732,"i'd like cheapest flight from pittsburgh to atlanta to depart april 20, fifth and returning may sixth.",travel
17733,i would like the cheapest flight from pittsburgh to atlanta leaving april the fifth and returning may sixth,travel
17734,i would like the cheapest flight from chicago to atlanta leaving april twenty fifth and returning may sixth,travel
17735,i would like the cheapest flight from pittsburgh to atlanta leaving may twenty fifth and returning may sixth,travel
17736,i would like the first flight from pittsburgh to atlanta leaving april twenty fifth and returning may sixth,travel
17737,i would like the cheapest flight from pittsburgh to chicago leaving april twenty fifth and returning may sixth,travel
17738,i would like the cheapest train from pittsburgh to atlanta leaving april twenty fifth and returning may sixth,travel
17739,round trip fares from baltimore to philadelphia under 1000 dollars,travel
17740,daily trip fares from baltimore to philadelphia under 1000 dollars,travel
17741,round trip service from baltimore to philadelphia under 1000 dollars,travel
17742,round trip fares from boston to philadelphia under 1000 dollars,travel
17743,round trip fares from baltimore to philadelphia under five dollars,travel
17744,"Generally, the airfare from baltimore to philadelphia is under 11,000 dollars.",travel
17745,round trip fares from baltimore to philadelphia under 1000 ;,travel
17746,fares for the time being between the baltimore and philadelphia are under 1000 dollars.,travel
17747,which airlines serve ;,travel
17748,which will serve denver,travel
17749,Which airlines do denver tourists?,travel
17750,which airlines serve denver: which airlines serve denver:.,travel
17751,which airlines serve denver,travel
17752,what? leave after 7 pm from boston to pittsburgh,travel
17753,what flights depart after 7p from boston to pittsburgh?,travel
17754,what flights leave after 6 pm from boston to pittsburgh,travel
17755,what flights leave after 7 pm from boston to?,travel
17756,what flights leave after 7 hours from boston to pittsburgh,travel
17757,What flights leave after 7 pm from boston to pittsburgh?,travel
17758,what flights leave after 7 pm from boston to pittsburgh,travel
17759,what flights leave after 7 pm from pittsburgh to pittsburgh,travel
17760,Airports fromphoenix to newark.,travel
17761,Air flights from phoenix to newark begin at the beginning.,travel
17762,flights from phoenix to newark,travel
17763,flights from phoenix to ;,travel
17764,service from phoenix to newark,travel
17765,flights from newark to newark,travel
17766,dl 296 denver to philadelphia what is the fare,travel
17767,dl from denver to philadelphia what is the fare,travel
17768,dl 296 - to philadelphia what is the fare,travel
17769,dl 296 denver to philadelphia the fare is the fare.,travel
17770,route 296 denver to philadelphia what is the fare,travel
17771,"dl 296 denver to philadelphia what is the fare, the fare is less than this fare.",travel
17772,dl 296 denver to philadelphia what is the?,travel
17773,show me the flights from boston to san francisco that stop in dallas,travel
17774,Show me the flights which fly from boston to san francisco and stop in dallas.,travel
17775,show me the flights from seattle to san francisco that stop in dallas,travel
17776,Show me the flights from boston to san francisco that stop in dallas.,travel
17777,show me the flights from boston to san francisco that stop in.,travel
17778,show me the trains from boston to san francisco that stop in dallas,travel
17779,Show me the flight from Boston to atlanta and return flights from atlanta to boston.,travel
17780,show me the flights from boston to atlanta and the return flights from atlanta to boston,travel
17781,show me the flight from boston to atlanta. The return flight from atlanta to boston will also be shown the fly from boston to atlanta.,travel
17782,show me the flights from atlanta to atlanta and the return flights from atlanta to boston,travel
17783,show me the flights from boston to atlanta and the daily flights from atlanta to boston,travel
17784,how many nonstop flights going from dallas to oakland july twenty seventh,travel
17785,how many nonstop flights going from dallas to oakland july twenty?,travel
17786,how many nonstop flights going from dallas to oakland? twenty seventh,travel
17787,How many free flights from dallas to oakland july twenty seven.,travel
17788,How many free flights from dallas to oakland july 17th 25th seventh 25th Sept.,travel
17789,how many nonstop flights going from seattle to oakland july twenty seventh,travel
